artist,title,album,duration,seconds,release,popularity,cover,spotify
"Danny Brown, ta Ukrainka, Zheani, Cynthoni",The End,Stardust,8:43,523.44,2025-11-07,38,https://i.scdn.co/image/ab67616d0000b273772613c0749e97abf3b9d035,https://open.spotify.com/track/0L3STJ13YPoscCLmzn9ziW
Microtrauma,Solitone - Original Mix,Solitone - EP,8:43,523.49,2012-08-10,8,https://i.scdn.co/image/ab67616d0000b27313b711c4533f6276adac3903,https://open.spotify.com/track/3mMdqGmZvhKvj9pf9FFdtl
Floating Points,Ocotillo,Cascade,8:43,523.56,2024-09-13,36,https://i.scdn.co/image/ab67616d0000b273e54a661b8aff6d4f2fe7aa29,https://open.spotify.com/track/4mVsLqaJtptz3QBzbuTiCS
Robert Glasper,Maiden Voyage / Everything In Its Right Place,In My Element,8:43,523.61,2007-01-01,46,https://i.scdn.co/image/ab67616d0000b273af23bc885cf6796ec81ce255,https://open.spotify.com/track/0jyXW8hxeIzX4QwznqVT0E
･ ･－･ ･－ ･･･ ･ －･･,－－ ･ －･･ ･ ･－･･ ･－,－－ ･ －･･ ･ ･－･･ ･－,8:44,524.02,2020-02-05,38,https://i.scdn.co/image/ab67616d0000b27333dc5a786539c4a296574f40,https://open.spotify.com/track/4akqPnWyCOWL0QNxQsXsNk
･ ･－･ ･－ ･･･ ･ －･･,－－ ･ －･･ ･ ･－･･ ･－,－－ ･ －･･ ･ ･－･･ ･－,8:44,524.02,2020-02-05,38,https://i.scdn.co/image/ab67616d0000b27333dc5a786539c4a296574f40,https://open.spotify.com/track/4akqPnWyCOWL0QNxQsXsNk
Chrome Sparks,Give It Up,Parallelism,8:44,524.22,2015-11-13,0,https://i.scdn.co/image/ab67616d0000b273b855f3318af2175248176c82,https://open.spotify.com/track/54J0gU3KrrihVjRiB1BWWZ
Portico Quartet,Rubidium,Portico Quartet,8:44,524.44,2011,14,https://i.scdn.co/image/ab67616d0000b27324bed9e0a2200bac2eb3f248,https://open.spotify.com/track/21NP3YSVDNHuA2hPFMpQrV
"Floating Points, Zongamin, Valentina Magaletti, Miriam Adefris","Mirror Pursuit (feat. Zongamin, Valentina Magaletti & Miriam Adefris)",Lazarus (Adult Swim Original Series Soundtrack),8:45,525.0,2025-04-11,23,https://i.scdn.co/image/ab67616d0000b273b8b846738b99b32371e003b0,https://open.spotify.com/track/6DzlWoBteomWfsLBm9To4z
"deadmau5, ATTLAS",bad at titles,"We Are Friends, Vol. 6",8:45,525.0,2017-03-24,0,https://i.scdn.co/image/ab67616d0000b2739129c125ccd828fe58ed0f43,https://open.spotify.com/track/6hK0irlXHoN9DeflWvkmKy
Polynation,Anther,SOMEWHERE,8:46,526.65,2015-08-28,0,https://i.scdn.co/image/ab67616d0000b27389fdc1ec5668fdd29a5960cc,https://open.spotify.com/track/72Gko345HYQu6gI3DWAZfL
NTO,Every Wall Is a Door,Every Wall Is a Door / The Gloomies,8:47,527.64,2012-08-17,34,https://i.scdn.co/image/ab67616d0000b273521b0d33d4b6220069f0bd8d,https://open.spotify.com/track/3vUSrErV2tv5lUmLwnE1RG
Vessels,Elliptic,Dilate (Special Edition),8:47,527.84,2016-04-01,30,https://i.scdn.co/image/ab67616d0000b273c1eea6b1e16e0b07d1051c54,https://open.spotify.com/track/3QvYXLJMZEV41QdFFFTHoD
Vessels,Elliptic,Dilate (Special Edition),8:47,527.84,2016-04-01,0,https://i.scdn.co/image/ab67616d0000b273c9fe602e44262736d270308e,https://open.spotify.com/track/6j6WfATnExJBUbJw4bBGak
DjRUM,Induction,Forgetting EP,8:50,530.83,2016-06-10,29,https://i.scdn.co/image/ab67616d0000b273833ab7c6597d6edb8616a203,https://open.spotify.com/track/4uFa6ccQxrZvk770D1E4OI
Max Cooper,Molten Landscapes,Chromos,8:51,531.42,2017-05-26,27,https://i.scdn.co/image/ab67616d0000b2738d5528e75aaeae772df4a2a4,https://open.spotify.com/track/7CkZIC2qC2D4eMU1eX7PIE
deadmau5,Fn Pig,> album title goes here <,8:51,531.98,2012-01-01,33,https://i.scdn.co/image/ab67616d0000b2734adb471799a828cea0263e65,https://open.spotify.com/track/5LZDSp62T8EAYyuyCcHnAl
Aparde,Loom,Loom,8:52,532.04,2015-01-30,26,https://i.scdn.co/image/ab67616d0000b273fd3f57d8e64f267007e7c387,https://open.spotify.com/track/2kCgb26PSKjgXZOrbP63Ke
Dominik Eulberg,Goldene Acht,Goldene Acht,8:52,532.24,2019-07-05,0,https://i.scdn.co/image/ab67616d0000b273c8035a8ce48bcb9cebcc19d9,https://open.spotify.com/track/0wMGlXj34dld1ovW8XT6zO
Floating Points,King Bromeliad,King Bromeliad / Montparnasse,8:52,532.5,2014-06-23,0,https://i.scdn.co/image/ab67616d0000b27359254a1e17989491af72a514,https://open.spotify.com/track/6f1S3mOpU4TeoTZOJCmRXl
Nils Frahm,More,Felt (Special Edition),8:55,535.73,2011-10-10,27,https://i.scdn.co/image/ab67616d0000b27302aa12db53652fd7c1370cb3,https://open.spotify.com/track/6ZUTYuWHy402p4alRpVzf4
Rodriguez Jr.,Baobab,Baobab,8:56,536.63,2017-06-02,0,https://i.scdn.co/image/ab67616d0000b27379e23148e52766a551b6e252,https://open.spotify.com/track/5b89kF5ByfLl4ThH2LSZEZ
D.Miller,Note B,All Notes,8:57,537.6,2018-07-23,2,https://i.scdn.co/image/ab67616d0000b273f6bcd52dc38b16d786e72dc0,https://open.spotify.com/track/6bePKb2QL2brusEuwEdRvy
Kiasmos,Thrown,Kiasmos,8:59,539.23,2014-10-27,53,https://i.scdn.co/image/ab67616d0000b273bb0ea18476f664df4f9fd460,https://open.spotify.com/track/6xzpUzzIquIyUzTLbbgSdI
Daniel Avery,Reputations,SAROS (Original Soundtrack),8:59,539.49,2026-05-22,31,https://i.scdn.co/image/ab67616d0000b2735d6ac4a14b60b757a909c2bb,https://open.spotify.com/track/1t1X8aN4V0n1jmPZJafzVB
Boris Brejcha,Purple Noise,Feuerfalter Part 02,8:59,539.52,2014-02-21,61,https://i.scdn.co/image/ab67616d0000b273f7d7b03b53a92c3ca51f67e0,https://open.spotify.com/track/6MoTeX5dtuPZ3hwaecuBkz
"Pan-Pot, Stephan Bodzin",Sleepless - Stephan Bodzin Remix,The Other Remixes,9:00,540.0,2015-12-25,0,https://i.scdn.co/image/ab67616d0000b27379a15e62ed1eda56e57adb8a,https://open.spotify.com/track/50MkrUXSXsS1Q1bn95XQcm
KAS:ST,Astral Talk,Road to Nowhere,9:00,540.34,2019-10-25,32,https://i.scdn.co/image/ab67616d0000b27332e6c3e39d0f28fa86ce721a,https://open.spotify.com/track/5rPEVJlL4x5hOGttmxnkF8
Rob Clouth,Shedding Layers,Transition,9:00,540.99,2018-02-23,8,https://i.scdn.co/image/ab67616d0000b273613e29c5d6bf3ef86fba5547,https://open.spotify.com/track/0vHSZ0ASWja0MvdabS8JLE
Eric Prydz,Opus,Opus,9:03,543.45,2016-02-05,66,https://i.scdn.co/image/ab67616d0000b27324492f2ba3a1d995e1faf5d8,https://open.spotify.com/track/3v2oAQomhOcYCPPHafS3KV
Plini,The Glass Bead Game,Impulse Voices,9:07,547.04,2020-11-27,33,https://i.scdn.co/image/ab67616d0000b273a89b3eb32273ffac4fd2f3f6,https://open.spotify.com/track/5wZWi4x6afEx6zQ4M1B90h
Rodriguez Jr.,Mistral - Stephan Bodzin Remix,Mistral (Remixes),9:07,547.26,2016-03-11,26,https://i.scdn.co/image/ab67616d0000b273c5cfff64b85cc033e249b696,https://open.spotify.com/track/4nvHVD7ydYxRcTt4zTX5hg
"Colleen D'agostino, deadmau5",Stay - drop the Poptart Edit,Collide,9:07,547.55,2015-03-15,50,https://i.scdn.co/image/ab67616d0000b2733a4d113dbe92f6fe672000b0,https://open.spotify.com/track/6rB8JdAL1cgrLnZMhANHWr
Stephan Bodzin,Diamant,Unity,9:07,547.91,2020-04-03,0,https://i.scdn.co/image/ab67616d0000b273e18f6613c8797619eaa07925,https://open.spotify.com/track/4umLzOBGXqKqNVAuYJqAGi
Marc Romboy,Beyond,Speicher 114,9:08,548.04,2020-02-14,24,https://i.scdn.co/image/ab67616d0000b273590ab4e2b3b0074d2de4c92c,https://open.spotify.com/track/7mBP9fo0krV2spidfoWI8V
Floating Points,Dexion,"Dexion (from ""LAZARUS"" Soundtrack)",9:08,548.24,2025-03-27,25,https://i.scdn.co/image/ab67616d0000b273684c4f7b122a31f787077d61,https://open.spotify.com/track/1S4VJpB3i8k2Y5m1fmgELM
Floating Points,Dexion,"Dexion (from ""LAZARUS"" Soundtrack)",9:08,548.24,2025-03-27,25,https://i.scdn.co/image/ab67616d0000b273684c4f7b122a31f787077d61,https://open.spotify.com/track/1S4VJpB3i8k2Y5m1fmgELM
Worakls,Nocturne,Nocturne,9:08,548.57,2017-02-24,45,https://i.scdn.co/image/ab67616d0000b27357e453e2894330917714700a,https://open.spotify.com/track/0QN5omDLKQj8Mdg3cajMuN
Colin Benders,Beving: Hanging D - Colin Benders Rework,ZERO (Hanging D Remixes),9:09,549.53,2021-07-14,3,https://i.scdn.co/image/ab67616d0000b2733cf4f42312f2591a5f069ef6,https://open.spotify.com/track/4vYZhYQpfHySUZVtA2jgXl
"Joep Beving, Colin Benders",Hanging D - Colin Benders Rework,Conatus,9:09,549.53,2018-09-28,19,https://i.scdn.co/image/ab67616d0000b2737820fc91d8c88dc568244691,https://open.spotify.com/track/4Z3hseuocqxUUadcDBOXhH
Lokane,Onism,Onism,9:10,550.0,2024-04-12,6,https://i.scdn.co/image/ab67616d0000b273813a803233963675f635a1ab,https://open.spotify.com/track/1drshoRZcuq2LIVautT0dV
"Magic Sword, The Toxic Avenger",The Curse (The Toxic Avenger Remix),Legend- EP (Deluxe Edition),9:10,550.2,2019-06-07,0,https://i.scdn.co/image/ab67616d0000b273f2280196d59890390153240b,https://open.spotify.com/track/2W1cR62CD7HUHCMzss9rPZ
Burial,Phoneglow,Phoneglow / Eyes Go Blank,9:10,550.68,2024-06-18,0,https://i.scdn.co/image/ab67616d0000b273caf8d2f2fe0b5d6e777c07d0,https://open.spotify.com/track/5EZcvtoZohyR3RdxgW85j9
Laurent Garnier,The Man With the Red Face - Video Edit,Unreasonable Behaviour,9:11,551.49,2000-02-07,48,https://i.scdn.co/image/ab67616d0000b273dfef3686e857771cb384e788,https://open.spotify.com/track/3FwsjsakjJkeLotPOGIr7s
Rone,Parade - Dominik Eulberg Remix,Parade (Remixes),9:14,554.48,2012-11-26,32,https://i.scdn.co/image/ab67616d0000b273f57dba79c209a66934e4e06d,https://open.spotify.com/track/4kEaTNNWoPiOOyXJnunpXe
Boucle Infinie,雨,直線移動,9:15,555.75,2017-11-24,27,https://i.scdn.co/image/ab67616d0000b273fe8a8c3a7f35ac3b403dfc5b,https://open.spotify.com/track/5KcmxKpoUE7TXGRA6iUNXA
deadmau5,Phantoms Can't Hang,while(1<2),9:15,555.77,2014-06-24,23,https://i.scdn.co/image/ab67616d0000b273d187000a5770a9179f8d99c5,https://open.spotify.com/track/2EydF6Rt3KjWk6fDXsqihQ
trentemøller,Snowflake,The Last Resort,9:18,558.01,2006-10-06,0,https://i.scdn.co/image/ab67616d0000b27316f19af631e813352ffb7b6f,https://open.spotify.com/track/5TssCy8jWgdqBNxapCNF3U
Jon Hopkins,Light Through The Veins,Insides,9:18,558.49,2009,38,https://i.scdn.co/image/ab67616d0000b273e021ba9b3cb2f941c7934c87,https://open.spotify.com/track/7dBbrLvzisvSSBPreD6nGS
"Ferdinand Dreyssig, Marvin Hey, Worakls",Coeur De La Nuit - Worakls Remix,Coeur de la nuit,9:20,560.08,2015-03-30,0,https://i.scdn.co/image/ab67616d0000b2731b908120dd482f6bfb06b56b,https://open.spotify.com/track/5dayqPrW7a4b2Skq3EcxWK
A Path Untold,The Air We Breathe,Realms of Solace,9:20,560.21,2024-12-06,4,https://i.scdn.co/image/ab67616d0000b2733f4b888f2af668eb1b6ec510,https://open.spotify.com/track/3mEirjsnl3pQ9dsMm2fCaP
Kiasmos,Burnt,Kiasmos,9:20,560.92,2014-10-27,41,https://i.scdn.co/image/ab67616d0000b273bb0ea18476f664df4f9fd460,https://open.spotify.com/track/1Qg4Da7hw0JlpjLMWwVDU8
"David Maxim Micic, Vladimir Lalić, Aleksandra Djelmas",Cry,BILO IV,9:21,561.08,2022-11-23,23,https://i.scdn.co/image/ab67616d0000b2734b5cd60090db78262cde7b64,https://open.spotify.com/track/4lUzbNvHHs9ab9U24yKdh1
Jon Hopkins,Collider,Immunity,9:21,561.69,2013-06-03,0,https://i.scdn.co/image/ab67616d0000b273235e762de339c6076aa824dd,https://open.spotify.com/track/2WjkOw9JVbvAdKKUaGs3OK
Franko Ovalles,Europa - Original Mix,Europa,9:22,562.26,2014-11-06,18,https://i.scdn.co/image/ab67616d0000b273f657510d39d2fe08ecd7350f,https://open.spotify.com/track/2PzuvGQm5mwzS1KLQhgjTX
"deadmau5, Kiesza",Bridged By A Lightwave,Bridged By A Lightwave,9:22,562.5,2021-01-22,45,https://i.scdn.co/image/ab67616d0000b273ec64f8c4c5d84a2c4e0ee335,https://open.spotify.com/track/5Cca3rAy0fvY2TGTCPGovV
"deadmau5, Kiesza",Bridged By A Lightwave,Bridged By A Lightwave,9:22,562.5,2020-11-10,0,https://i.scdn.co/image/ab67616d0000b27310c8acd10091286abda2808c,https://open.spotify.com/track/72WBelUIkvipTGV2q0basF
Ashbringer,Spiritual Architecture,Absolution,9:22,562.51,2019-06-28,23,https://i.scdn.co/image/ab67616d0000b273835a3c3710fdfca00a421b98,https://open.spotify.com/track/4aWXx6F0IKffa82oZyYMcO
"Lane 8, Massane",And We Knew It Was Our Time,Cross Pollination,9:23,563.3,2020-08-27,46,https://i.scdn.co/image/ab67616d0000b2738b30196bbda98bff4b039fc1,https://open.spotify.com/track/2tIv3DITNBTTayAM6Rewqi
Perturbator,God Complex,New Model,9:25,565.18,2017-09-05,0,https://i.scdn.co/image/ab67616d0000b27370eaa695a1043f5132d488a7,https://open.spotify.com/track/4m4Yj2z7CG1LUNbcg1uOP3
"deadmau5, Feed Me",Strobe - Feed Me Remix,Strobe (Remixes),9:26,566.65,2016-09-23,0,https://i.scdn.co/image/ab67616d0000b273289b1732270558630c9bd98a,https://open.spotify.com/track/1yRf18YMSZMBX0Oyuwq9YU
M|O|O|N,Alicia - Single Version,Alicia,9:28,568.65,2017-03-07,0,https://i.scdn.co/image/ab67616d0000b2735f410ad0ba6b43ba29b195ae,https://open.spotify.com/track/0Ld25Yu2iyMNYNeWQtiF64
Secede,Born in a Tropical Swamp,Tryshasla,9:29,569.0,2005-06-05,30,https://i.scdn.co/image/ab67616d0000b2737091516c791cdd1de8d46077,https://open.spotify.com/track/32itv2uOKRHSip4gtRqhBU
Chrome Sparks,Ride The White Lightning,Parallelism,9:29,569.98,2015-11-13,0,https://i.scdn.co/image/ab67616d0000b273b855f3318af2175248176c82,https://open.spotify.com/track/0ZnnvzCY0SHzv6k18PWczg
Ocoeur,Breath,Breath,9:30,570.23,2024-09-06,6,https://i.scdn.co/image/ab67616d0000b273334b8ea91d5ffbcde03a1f56,https://open.spotify.com/track/5G3Dvf1X89XxsCFg2D9v4E
Ben Frost,Theory of Machines,Theory of Machines,9:30,570.43,2007-02-01,0,https://i.scdn.co/image/ab67616d0000b273ae3f17e9db0f958a7ecd9cc5,https://open.spotify.com/track/3cmyHos30q47rAcxM9cZeH
Azaleh,Pathways,Realigning Energy,9:30,570.47,2026-03-01,17,https://i.scdn.co/image/ab67616d0000b2735a23dd3160d355df87d0ddca,https://open.spotify.com/track/5Y96HNlLwL24HJOk4E9WB6
Nathan Fake,The Sky Was Pink - Holden Remix,The Sky Was Pink,9:30,570.59,2004-08-23,44,https://i.scdn.co/image/ab67616d0000b273ce4111499da3f3e9d975ec6d,https://open.spotify.com/track/2oeEq7M17OE5rqcYYYHZet
deadmau5,XYZ,XYZ,9:35,575.62,2022-06-17,0,https://i.scdn.co/image/ab67616d0000b273e64a596a339de17afd2b2102,https://open.spotify.com/track/4zfmg3ZRGf3tTgr08tvu7c
deadmau5,XYZ,XYZ,9:35,575.62,2022-06-17,0,https://i.scdn.co/image/ab67616d0000b273a837d7585e91bbbbc05d17ba,https://open.spotify.com/track/7cbsuVHDGO1QWG15TUOOtp
RÜFÜS DU SOL,Innerbloom,Bloom,9:38,578.04,2016-06-03,1,https://i.scdn.co/image/ab67616d0000b2731e74f236c155409c79e2aa45,https://open.spotify.com/track/0KiAgTHemp1tC2ryqWsOSI
Mid-Air Thief,Crumbling Together,Crumbling,9:38,578.39,2018-07-31,32,https://i.scdn.co/image/ab67616d0000b273ce2eaf6dab7809d9ecf27a9f,https://open.spotify.com/track/7zCC8WCoGyxiBiPH9amkvS
deadmau5,Mercedes,while(1<2),9:38,578.4,2014-06-24,19,https://i.scdn.co/image/ab67616d0000b273d187000a5770a9179f8d99c5,https://open.spotify.com/track/6cz32tKqP3YxLQLcOAyAsQ
Lena Raine,Resurrections,Celeste (Original Soundtrack),9:38,578.65,2018-01-25,54,https://i.scdn.co/image/ab67616d0000b273b351fafcb334009c3216a039,https://open.spotify.com/track/3flQv4DNGg31Ic4vBv45Tj
Vijay Iyer Trio,Human Nature (Trio Extension),Accelerando (Bonus Track Version),9:39,579.16,2012-01-29,18,https://i.scdn.co/image/ab67616d0000b273806d79c0d84ec616dbe4e9f7,https://open.spotify.com/track/1aj5pTKPit19Rmmby4BfmC
deadmau5,Polaris,"We Are Friends, Vol. 6",9:45,585.0,2017-03-24,0,https://i.scdn.co/image/ab67616d0000b2739129c125ccd828fe58ed0f43,https://open.spotify.com/track/6Qng1hawspj0ddyexe0IHV
deadmau5,Input Output,some ep,9:48,588.25,2024-07-19,0,https://i.scdn.co/image/ab67616d0000b27396bfd971bbd9eb9622997da9,https://open.spotify.com/track/0fzP5cIsXW3NXOCgjjJPSR
deadmau5,Saved,Saved,9:48,588.75,2016-08-05,0,https://i.scdn.co/image/ab67616d0000b27323a455beedbd01c9765d89c4,https://open.spotify.com/track/2JjwR5GK8XZE0ZOiL1VBOf
"DJ Hell, Bryan Ferry",U Can Dance,Teufelswerk,9:50,590.33,2009-05-04,0,https://i.scdn.co/image/ab67616d0000b27300d42bb177b474cc6ac3b8ab,https://open.spotify.com/track/1tYnZX2e5Rvro46yxS47n1
A Path Untold,Vanishing Together,Realms of Solace,9:50,590.69,2024-12-06,5,https://i.scdn.co/image/ab67616d0000b2733f4b888f2af668eb1b6ec510,https://open.spotify.com/track/6LduYVnEsEa2DlfxvP9cnv
